find_name	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Burkholderia pseudomallei K96243	GCF_000959285.1	Unreference	Complete Genome	272560	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei K96243
Burkholderia pseudomallei 1710a	GCF_000193455.1	Unreference	Chromosome	320371	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 1710a
Burkholderia pseudomallei 576	GCF_000756185.1	Unreference	Complete Genome	557724	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 576
Burkholderia pseudomallei MSHR491	GCF_000959205.1	Unreference	Complete Genome	1249473	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei MSHR491
Burkholderia glumae	GCF_009931375.1	Represent	Complete Genome	337	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia glumae;t__
Burkholderia pyrrocinia	GCF_001028665.1	Represent	Complete Genome	60550	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pyrrocinia;t__
Burkholderia gladioli	GCF_016698705.1	Represent	Complete Genome	28095	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia gladioli;t__
Burkholderia pseudomallei 1026b	GCF_000959125.1	Unreference	Complete Genome	884204	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 1026b
Burkholderia thailandensis	GCF_001718635.1	Represent	Complete Genome	57975	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia thailandensis;t__
Butyrivibrio fibrisolvens	GCF_902388015.1(suppressed)	Unreference	Chromosome	831	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens;t__
Campylobacter jejuni	GCF_000009085.1	Reference	Complete Genome	197	species	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__
Campylobacter jejuni subsp. jejuni	GCF_000009085.1	Reference	Complete Genome	32022	subspecies	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni
Campylobacter jejuni subsp. jejuni 00-2425	GCF_000468915.2	Unreference	Complete Genome	1357994	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni 00-2425
Campylobacter jejuni subsp. jejuni PT14	GCF_000302555.5	Unreference	Complete Genome	1201032	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni PT14
Caulobacter vibrioides CB15	GCF_000006905.1	Unreference	Complete Genome	190650	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15
Caulobacter vibrioides	GCF_000022005.1	Reference	Complete Genome	155892	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__
Celeribacter marinus	GCF_001308265.1	Represent	Complete Genome	1397108	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Celeribacter;s__Celeribacter marinus;t__
Cellulophaga baltica	GCF_000468615.2	Represent	Complete Genome	76594	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__
Cellulophaga baltica 18	GCF_000468615.2	Represent	Complete Genome	1348584	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 18
Cellulophaga baltica NN016038	GCF_000477035.2	Unreference	Complete Genome	1348585	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica NN016038
Chlamydia psittaci	GCF_000204255.1	Represent	Complete Genome	83554	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci;t__
Chlamydia abortus	GCF_900416725.2	Represent	Complete Genome	83555	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia abortus;t__
Chlamydia felis	GCF_000009945.1	Represent	Complete Genome	83556	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia felis;t__
Chlamydia caviae GPIC	GCF_000007605.1	Represent	Complete Genome	227941	isolate	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia caviae;t__
Chlamydia pecorum E58	GCF_000204135.1	Unreference	Complete Genome	331635	strain	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pecorum;t__Chlamydia pecorum E58
Chlamydia pneumoniae AR39	GCF_000091085.2	Unreference	Complete Genome	115711	strain	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pneumoniae;t__Chlamydia pneumoniae AR39
Citrobacter freundii	GCF_003812345.1	Represent	Complete Genome	546	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii;t__
Citrobacter amalonaticus	GCF_001558935.2	Represent	Complete Genome	35703	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter amalonaticus;t__
Clavibacter michiganensis subsp. michiganensis	GCF_009739655.1	Represent	Complete Genome	33013	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis;t__Clavibacter michiganensis subsp. michiganensis
Clavibacter michiganensis	GCF_009739655.1	Represent	Complete Genome	28447	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis;t__
Clostridioides difficile	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium botulinum	GCF_000063585.1	Represent	Complete Genome	1491	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium botulinum;t__
Clostridium perfringens	GCF_020138775.1	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
Clostridium perfringens ATCC 13124	GCF_000013285.1	Unreference	Complete Genome	195103	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens ATCC 13124
Clostridium sporogenes	GCF_020450145.1	Represent	Chromosome	1509	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sporogenes;t__
Clostridium tetani	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium tyrobutyricum	GCF_001642655.1	Represent	Complete Genome	1519	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tyrobutyricum;t__
Clostridium perfringens SM101	GCF_000013845.2	Unreference	Complete Genome	289380	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens SM101
Colwellia psychrerythraea 34H	GCF_000012325.1	Represent	Complete Genome	167879	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwellia psychrerythraea;t__Colwellia psychrerythraea 34H
Corynebacterium xerosis	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium vitaeruminis	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium glutamicum	GCF_000404185.1	Represent	Complete Genome	1718	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__
Croceibacter atlanticus HTCC2559	GCF_000196315.1	Represent	Complete Genome	216432	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559
Cronobacter sakazakii	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
Cronobacter turicensis	GCF_000027065.2(suppressed)	Unreference	Complete Genome	413502	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter turicensis;t__
Cronobacter malonaticus	GCF_001277215.2	Represent	Complete Genome	413503	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus;t__
Cronobacter dublinensis subsp. dublinensis LMG 23823	GCF_001277235.1	Represent	Complete Genome	1159554	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter dublinensis;t__Cronobacter dublinensis subsp. dublinensis LMG 23823
Cronobacter muytjensii ATCC 51329	GCF_001277195.1	Represent	Complete Genome	1159613	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter muytjensii;t__Cronobacter muytjensii ATCC 51329
Cronobacter condimenti	GCF_001277255.1	Represent	Complete Genome	1163710	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter condimenti;t__
Cronobacter malonaticus LMG 23826	GCF_001277215.2	Represent	Complete Genome	1159491	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus;t__Cronobacter malonaticus LMG 23826
Synechococcus sp. WH 7803	GCF_000063505.1(suppressed)	Unreference	Complete Genome	32051	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. WH 7803;t__
Prochlorococcus marinus str. NATL2A	GCF_000012465.1	Unreference	Complete Genome	59920	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. NATL2A
Leptolyngbya boryana	GCF_002142475.1	Represent	Complete Genome	1184	species	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana;t__
Prochlorococcus marinus str. MIT 9313	GCF_000011485.1	Unreference	Complete Genome	74547	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. MIT 9313
Synechococcus sp. WH 8109	GCF_000161795.2	Unreference	Complete Genome	166314	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. WH 8109;t__
Prochlorococcus marinus subsp. marinus str. CCMP1375	GCF_000007925.1	Represent	Complete Genome	167539	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus subsp. marinus str. CCMP1375
Delftia acidovorans	GCF_016127415.1	Unreference	Complete Genome	80866	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia acidovorans;t__
Delftia tsuruhatensis	GCF_903815225.1	Unreference	Complete Genome	180282	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia tsuruhatensis;t__
Dickeya fangzhongdai	GCF_002812485.1	Represent	Complete Genome	1778540	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya fangzhongdai;t__
Dickeya solani	GCF_002846995.1	Represent	Complete Genome	1089444	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya solani;t__
Dickeya solani MK10	GCF_000365285.1	Unreference	Chromosome	1224151	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya solani;t__Dickeya solani MK10
Dinoroseobacter shibae	GCF_000018145.1	Represent	Complete Genome	215813	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Dinoroseobacter;s__Dinoroseobacter shibae;t__
Dinoroseobacter shibae DFL 12 = DSM 16493	GCF_000018145.1	Represent	Complete Genome	398580	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Dinoroseobacter;s__Dinoroseobacter shibae;t__Dinoroseobacter shibae DFL 12 = DSM 16493
Edwardsiella anguillarum	GCF_000264765.2	Represent	Complete Genome	1821960	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella;s__Edwardsiella anguillarum;t__
Edwardsiella ictaluri	GCF_003074995.2	Represent	Complete Genome	67780	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella;s__Edwardsiella ictaluri;t__
Edwardsiella tarda	GCF_002504285.1	Represent	Complete Genome	636	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella;s__Edwardsiella tarda;t__
Eggerthella lenta	GCF_021378605.1	Represent	Complete Genome	84112	species	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta;t__
Escherichia coli	GCF_000008865.2	Reference	Complete Genome	562	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
Enterobacter cloacae	GCF_000770155.1	Represent	Complete Genome	550	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae;t__
Enterobacter cancerogenus	GCF_019665745.1	Represent	Chromosome	69218	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cancerogenus;t__
Enterobacter asburiae	GCF_007035645.1	Represent	Complete Genome	61645	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae;t__
Klebsiella aerogenes	GCF_007632255.1	Represent	Complete Genome	548	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes;t__
Escherichia coli RS218	GCF_000800845.1(suppressed)	Unreference	Complete Genome	439184	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli RS218
Salmonella enterica subsp. enterica serovar Typhimurium	GCF_000006945.2	Reference	Complete Genome	90371	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Pseudomonas aeruginosa	GCF_000006765.1	Reference	Complete Genome	287	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__
Pseudomonas fluorescens	GCF_900215245.1	Represent	Chromosome	294	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens;t__
Pseudomonas putida	GCF_000412675.1	Represent	Complete Genome	303	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida;t__
Acinetobacter calcoaceticus	GCF_002055515.1	Represent	Complete Genome	471	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus;t__
Proteus mirabilis	GCF_000069965.1	Represent	Complete Genome	584	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis;t__
Escherichia coli B	GCF_001559615.2	Unreference	Complete Genome	37762	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli B
Shigella flexneri	GCF_000006925.2	Reference	Complete Genome	623	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri;t__
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	GCF_000493675.1(suppressed)	Unreference	Complete Genome	85569	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica serovar Typhimurium str. DT104
Salmonella enterica subsp. enterica	GCF_000006945.2	Reference	Complete Genome	59201	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Escherichia coli BL21(DE3)	GCF_019754155.1	Unreference	Complete Genome	469008	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli BL21(DE3)
Escherichia coli BL21	GCF_014263375.1	Unreference	Complete Genome	511693	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli BL21
Enterococcus faecium	GCF_009734005.1	Represent	Complete Genome	1352	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecium;t__
Enterococcus faecalis	GCF_022557275.1	Unreference	Complete Genome	1351	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__
Enterococcus faecalis 62	GCF_000211255.2	Unreference	Complete Genome	936153	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__Enterococcus faecalis 62
Enterococcus faecalis V583	GCF_000007785.1	Unreference	Complete Genome	226185	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__Enterococcus faecalis V583
Erwinia amylovora	GCF_000091565.1	Represent	Complete Genome	552	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia amylovora;t__
Erwinia tracheiphila	GCF_021365465.1	Represent	Complete Genome	65700	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia tracheiphila;t__
Erwinia pyrifoliae	GCF_002952315.1	Represent	Complete Genome	79967	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia pyrifoliae;t__
Erwinia tasmaniensis	GCF_000026185.1	Represent	Complete Genome	338565	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia tasmaniensis;t__
Erysipelothrix rhusiopathiae	GCF_900637845.1	Represent	Complete Genome	1648	species	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix;s__Erysipelothrix rhusiopathiae;t__
Escherichia coli O157	GCF_008727195.1	Unreference	Complete Genome	1045010	serogroup	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
Escherichia coli O145	GCF_014623425.1	Unreference	Complete Genome	1055538	serogroup	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
Escherichia coli CFT073	GCF_014262945.1	Unreference	Complete Genome	199310	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli CFT073
Salmonella enterica subsp. enterica serovar Oranienburg	GCF_004798745.1	Unreference	Complete Genome	28147	no rank	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
Escherichia coli O78	GCF_020217445.1	Unreference	Complete Genome	2072463	serogroup	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
Escherichia coli W	GCF_000258145.1	Unreference	Complete Genome	566546	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli W
Escherichia coli HS	GCF_000017765.1	Unreference	Complete Genome	331112	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli HS
Faecalibacterium prausnitzii	GCF_003312465.1	Represent	Complete Genome	853	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__
Flavobacterium psychrophilum	GCF_013343195.2	Represent	Complete Genome	96345	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium psychrophilum;t__
Flavobacterium columnare	GCF_014844295.1	Represent	Complete Genome	996	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium columnare;t__
Fusobacterium nucleatum subsp. polymorphum ATCC 10953	GCF_000153625.3	Unreference	Chromosome	393480	strain	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum;t__Fusobacterium nucleatum subsp. polymorphum ATCC 10953
Fusobacterium nucleatum	GCF_001457555.1	Represent	Complete Genome	851	species	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum;t__
Geobacillus kaustophilus	GCF_000009785.1	Represent	Complete Genome	1462	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus kaustophilus;t__
Geobacillus stearothermophilus	GCF_014961685.1	Unreference	Complete Genome	1422	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus stearothermophilus;t__
Parageobacillus thermoglucosidasius	GCF_001700985.1	Represent	Complete Genome	1426	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Parageobacillus;s__Parageobacillus thermoglucosidasius;t__
Gordonia terrae	GCF_011290605.1	Unreference	Complete Genome	2055	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia terrae;t__
Gordonia rubripertincta	GCF_014070455.1	Represent	Complete Genome	36822	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia rubripertincta;t__
Gordonia alkanivorans	GCF_004011905.1	Represent	Complete Genome	84096	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia alkanivorans;t__
Nocardia otitidiscaviarum	GCF_007362295.1	Represent	Complete Genome	1823	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia otitidiscaviarum;t__
