virus_name	viral_acc	virus_taxid	virus_lineage	evidence	report_host	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Clostridium phage phiCT453A	NC_028991	1567012	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Clostridium phage phiCT453A;t__	NCBI Virus, RefSeq	Clostridium tetani	1513	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__	species	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium phage phiCT453B	NC_029004	1567013	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Clostridium phage phiCT453B;t__	NCBI Virus, RefSeq	Clostridium tetani	1513	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__	species	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium phage phiCT9441A	NC_029022	1567014	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Clostridium phage phiCT9441A;t__	NCBI Virus, RefSeq	Clostridium tetani ATCC 9441	1172203	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__Clostridium tetani ATCC 9441	strain	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium phage phiCTC2A	NC_030949	1567015	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Clostridium phage phiCTC2A;t__	NCBI Virus, RefSeq	Clostridium tetani	1513	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__	species	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium phage phiCTC2B	NC_030951	1567016	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Clostridium phage phiCTC2B;t__	NCBI Virus, RefSeq	Clostridium tetani	1513	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__	species	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium phage phiCTP1	NC_014457	871584	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Clostridium phage phiCTP1;t__	Literature	Clostridium tyrobutyricum	1519	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tyrobutyricum;t__	species	Clostridium tyrobutyricum	['GCF_001642655.1']	GCF_001642655.1	Represent	Complete Genome	1519	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tyrobutyricum;t__
Clostridium phage phiMMP01	NC_028883	1582156	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Yongloolinvirus;s__Clostridioides virus phiMMP01;t__	RefSeq	Clostridioides difficile	1496	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium phage phiMMP02	NC_019421	1204534	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Colneyvirus;s__Clostridioides virus phiMMP02;t__	RefSeq	Clostridioides difficile	1496	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium phage phiMMP03	NC_028959	1582157	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Yongloolinvirus;s__Clostridioides virus phiMMP03;t__	RefSeq	Clostridioides difficile	1496	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium phage phiMMP04	NC_019422	1204535	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Sherbrookevirus;s__Clostridioides virus phiMMP04;t__	RefSeq	Clostridioides difficile	1496	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium phage PhiS63	NC_017978	1187894	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Clostridium phage PhiS63;t__	NCBI Virus, RefSeq	Clostridium perfringens	1502	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
Clostridium phage phiSM101	NC_008265	396359	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Clostridium phage phiSM101;t__	NCBI Virus, RefSeq	Clostridium perfringens SM101	289380	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens SM101	strain	Clostridium perfringens SM101	['GCF_000013845.2']	GCF_000013845.2	Unreference	Complete Genome	289380	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens SM101
Clostridium phage phiZP2	NC_018084	1162306	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Guelinviridae;g__Brucesealvirus;s__Clostridium virus phiZP2;t__	RefSeq	Clostridium perfringens	1502	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
Clostridium phage susfortuna	NC_048712	2316154	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Guelinviridae;g__Susfortunavirus;s__Clostridium virus susfortuna;t__	RefSeq	Clostridium perfringens	1502	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
Clostridium phage vB_CpeS-CP51	NC_021325	1305708	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Clostridium phage vB_CpeS-CP51;t__	NCBI Virus, RefSeq	Clostridium perfringens	1502	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
Clostridium virus phiC2	NC_009231	262071	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lubbockvirus;s__Clostridium virus phiC2;t__	NCBI Virus, RefSeq	Clostridioides difficile	1496	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium virus phiCD27	NC_011398	559189	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lubbockvirus;s__Clostridium virus phiCD27;t__	NCBI Virus, RefSeq	Clostridioides difficile	1496	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Colwellia phage 9A	NC_018088	765765	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Franklinbayvirus;s__Colwellia virus 9A;t__	RefSeq	Colwellia psychrerythraea 34H	167879	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwellia psychrerythraea;t__Colwellia psychrerythraea 34H	strain	Colwellia psychrerythraea 34H	['GCF_000012325.1']	GCF_000012325.1	Represent	Complete Genome	167879	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwellia psychrerythraea;t__Colwellia psychrerythraea 34H
Corynebacterium phage Adelaide	NC_048791	2588499	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Samwavirus;s__Corynebacterium virus Adelaide;t__	RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage C3PO	NC_042085	2047868	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ceetrepovirus;s__Corynebacterium virus C3PO;t__	RefSeq	Corynebacterium vitaeruminis	38305	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__	species	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium phage Darwin	NC_042086	2047869	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ceetrepovirus;s__Corynebacterium virus Darwin;t__	RefSeq	Corynebacterium vitaeruminis	38305	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__	species	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium phage Dina	NC_048787	2588501	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Samwavirus;s__Corynebacterium virus Dina;t__	RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage Juicebox	NC_048070	2301600	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Juiceboxvirus;s__Corynebacterium virus Juicebox;t__	RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage Kimchi1738	NC_055772	2483719	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ceetrepovirus;s__Corynebacterium phage Kimchi1738;t__	NCBI Virus, RefSeq	Corynebacterium vitaeruminis	38305	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__	species	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium phage Lederberg	NC_048790	2588502	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Samwavirus;s__Corynebacterium virus SamW;t__	NCBI Virus, RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage P1201	NC_009816	384848	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Chunghsingvirus;s__Corynebacterium virus P1201;t__	RefSeq	Corynebacterium glutamicum	1718	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__	species	Corynebacterium glutamicum	['GCF_000404185.1']	GCF_000404185.1	Represent	Complete Genome	1718	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__
Corynebacterium phage phi673	NC_042354	2052821	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ikedavirus;s__Corynebacterium virus phi673;t__	RefSeq	Corynebacterium glutamicum	1718	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__	species	Corynebacterium glutamicum	['GCF_000404185.1']	GCF_000404185.1	Represent	Complete Genome	1718	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__
Corynebacterium phage phi674	NC_042355	2052822	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ikedavirus;s__Corynebacterium virus phi674;t__	RefSeq	Corynebacterium glutamicum	1718	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__	species	Corynebacterium glutamicum	['GCF_000404185.1']	GCF_000404185.1	Represent	Complete Genome	1718	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__
Corynebacterium phage Poushou	NC_042139	2015851	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Poushouvirus;s__Corynebacterium virus Poushou;t__	RefSeq	Corynebacterium vitaeruminis	38305	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__	species	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium phage SamW	NC_048069	2301601	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Samwavirus;s__Corynebacterium virus SamW;t__	RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage StAB	NC_048780	2591204	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Samwavirus;s__Corynebacterium virus StAB;t__	RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage Stickynote	NC_055807	2588503	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ceetrepovirus;s__Corynebacterium phage Stickynote;t__	NCBI Virus, RefSeq	Corynebacterium vitaeruminis	38305	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__	species	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium phage Stiles	NC_048789	2588504	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Samwavirus;s__Corynebacterium virus Stiles;t__	RefSeq	Corynebacterium xerosis	1725	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__	species	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium phage Zion	NC_042087	2047871	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ceetrepovirus;s__Corynebacterium virus Zion;t__	RefSeq	Corynebacterium vitaeruminis	38305	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__	species	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Croceibacter phage P2559S	NC_018276	1176422	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Croceibacter phage P2559S;t__	NCBI Virus, RefSeq	Croceibacter atlanticus HTCC2559	216432	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559	strain	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	GCF_000196315.1	Represent	Complete Genome	216432	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559
Croceibacter phage P2559Y	NC_023614	1327037	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Croceibacter phage P2559Y;t__	NCBI Virus, RefSeq	Croceibacter atlanticus HTCC2559	216432	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559	strain	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	GCF_000196315.1	Represent	Complete Genome	216432	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559
Cronobacter phage CR3	NC_017974	1162295	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Certrevirus;s__Cronobacter virus CR3;t__	RefSeq	Cronobacter sakazakii	28141	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__	species	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
Cronobacter phage CR5	NC_021531	1195085	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Derbicusvirus;s__Cronobacter phage CR5;t__	NCBI Virus, RefSeq	Cronobacter sakazakii	28141	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__	species	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
Cronobacter phage CR8	NC_024354	1327934	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Certrevirus;s__Cronobacter virus CR8;t__	RefSeq	Cronobacter sakazakii	28141	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__	species	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
Cronobacter phage CR9	NC_023717	1162290	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Certrevirus;s__Cronobacter virus CR9;t__	RefSeq	Cronobacter sakazakii	28141	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__	species	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
Cronobacter phage CS01	NC_048088	2496544	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Drexlerviridae;g__Gyeonggidovirus;s__Cronobacter virus CS01;t__	RefSeq	Cronobacter sakazakii	28141	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__	species	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
