viral.accn,Virus.name,Reported.host.name,Host.accn,Matched.RefSeq.name,Host.taxid,Domain,Phylum,Class,Order,Family,Genus,Species,
NC_022055,Mycobacterium phage Bobi,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_041970,Mycobacterium phage Bongo,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_029044,Mycobacterium phage Breeniome,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031262,Mycobacterium phage Brocalys,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028968,Mycobacterium phage BrownCNA,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022988,Mycobacterium phage Bruin,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028747,Mycobacterium phage Brusacoram,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021061,Mycobacterium phage Butters,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026593,Mycobacterium phage BuzzLyseyear,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028678,Mycobacterium phage Cabrinians,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028922,Mycobacterium phage Cambiare,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028842,Mycobacterium phage CaptainTrips,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028779,Mycobacterium phage Carcharodon,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021324,Mycobacterium phage CASbig,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031238,Mycobacterium phage Catalina,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022057,Mycobacterium phage Catdawg,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026604,Mycobacterium phage Cerasum,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028897,Mycobacterium phage Chadwick,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023729,Mycobacterium phage Charlie,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028979,Mycobacterium phage Cheetobro,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_042034,Mycobacterium phage ChrisnMich,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022965,Mycobacterium phage CloudWang3,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028689,Mycobacterium phage Colbert,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022973,Mycobacterium phage Conspiracy,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022065,Mycobacterium phage Contagion,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023606,Mycobacterium phage CRB1,Mycobacterium smegmatis mc2155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022071,Mycobacterium phage Crossroads,Mycobacterium smegamtis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022068,Mycobacterium phage Daenerys,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_024371,Mycobacterium phage Damien,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023696,Mycobacterium phage Dandelion,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028946,Mycobacterium phage Dante,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023552,Mycobacterium phage Donovan,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023703,Mycobacterium phage Dori,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022059,Mycobacterium phage DrDrey,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023708,Mycobacterium phage Dreamboat,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021306,Mycobacterium phage Dumbo,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_029079,Mycobacterium phage Dusk,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022325,Mycobacterium phage Dylan,Mycobacterium smegamtis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023564,Mycobacterium phage EagleEye,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023553,Mycobacterium phage Echild,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_029059,Mycobacterium phage Edtherson,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028936,Mycobacterium phage Enkosi,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028852,Mycobacterium phage Equemioh13,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028690,Mycobacterium phage Eremos,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026585,Mycobacterium phage Estave1,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_013650,Mycobacterium phage ET08,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031263,Mycobacterium phage EvilGenius,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_020876,Mycobacterium phage First,Mycobacterium smegmatis mc2155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021302,Mycobacterium phage Fishburne,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028861,Mycobacterium phage FlagStaff,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028889,Mycobacterium phage Florinda,Mycobacterium smegmatis mc2155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022753,Mycobacterium phage Fredward,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023686,Mycobacterium phage Gadjet,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026590,Mycobacterium phage Gaia,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031124,Mycobacterium phage Gardann,Mycobacterium smegmatis mc#155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031035,Mycobacterium phage Gengar,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021346,Mycobacterium phage Gizmo,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_042050,Mycobacterium phage Godines,Mycobacterium smegmatis mc2155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022085,Mycobacterium phage Goku,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022979,Mycobacterium phage Graduation,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_011290,Mycobacterium phage Gumball,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026595,Mycobacterium phage Hades,Mycobacteruim smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022056,Mycobacterium phage Hamulus,Mycobacterium smegamtis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022975,Mycobacterium phage HanShotFirst,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_024209,Mycobacterium phage Hawkeye,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021308,Mycobacterium phage HINdeR,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022981,Mycobacterium phage HufflyPuff,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028869,Mycobacterium phage HyRo,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026596,Mycobacterium phage Inventum,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028687,Mycobacterium phage Iracema64,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022069,Mycobacterium phage Jabbawokkie,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023740,Mycobacterium phage JacAttac,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023554,Mycobacterium phage JAMaL,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_041969,Mycobacterium phage Jebeks,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021538,Mycobacterium phage Job42,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_021535,Mycobacterium phage Jobu08,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023604,Mycobacterium phage Jolie2,Mycobacterium smegmatis mc2155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022984,Mycobacterium phage Jovo,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_024141,Mycobacterium phage Kampy,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022061,Mycobacterium phage KayaCho,Mycobacterium smegamtis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026603,Mycobacterium phage Keshu,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028907,Mycobacterium phage Kikipoo,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028792,Mycobacterium phage Kimberlium,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_011292,Mycobacterium phage Konstantine,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028947,Mycobacterium phage Kratio,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028744,Mycobacterium phage LadyBird,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_024143,Mycobacterium phage Lamina13,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028877,Mycobacterium phage Larenn,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023689,Mycobacterium phage Lilac,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_023714,Mycobacterium phage LinStu,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_022086,Mycobacterium phage LittleCherry,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028923,Mycobacterium phage Llama,Mycobacteruim smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028843,Mycobacterium phage Lolly9,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031256,Mycobacterium phage Loser,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_028849,Mycobacterium phage Luchador,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_041901,Mycobacterium phage Lukilu,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_031067,Mycobacterium phage Makemake,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_026605,Mycobacterium phage Malithi,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
NC_024363,Mycobacterium phage Manad,Mycobacterium smegmatis mc2 155,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,246196,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis,
